	Unsorted			                Sorted(1-9999)			                Sorted(9999-1)
	QuickSort	MergeSort	HeapSort	QuickSort	MergeSort	HeapSort	QuickSort	MergeSort	HeapSort
File 0	2.819356	3.628213	2.067343	33.794765	0.490288	0.69951	        8.93217	        0.346202	0.381336	
File 1	1.495735	1.885755	1.440469	33.40948	0.424364	0.620558	14.365607	0.255407	0.307516	
File 2	1.959575	0.801357	1.622057	33.970036	0.339097	0.589767	14.147307	0.239223	0.28383	
File 3	2.102082	0.832148	2.280512	34.81561	0.353702	0.584635	16.446371	0.260539	0.290147	
File 4	3.714271	0.776882	3.700453	33.67318	0.404626	0.621348	18.225937	0.305937	0.30041	
File 5	0.816753	0.462261	1.257302	34.269264	0.363967	0.587399	15.237626	0.246329	0.266855	
File 6	0.791883	0.47134	        1.831279	33.13789	0.362782	0.837674	15.865685	0.230933	0.264487	
File 7	0.983735	0.805699	1.301909	33.248817	0.33357	         0.59332	14.659702	0.223038	0.266461	
File 8	1.095846	0.645034	1.038211	33.491985	0.343438	0.588583	15.080907	0.224617	0.277514	
File 9	1.021237	0.520685	0.932022	34.41493	0.405415	0.551081	20.041033	0.222643	0.283041	
File 10	0.810041	0.482787	1.101373	33.75292	0.342254	0.587793	15.578696	0.223827	0.264882	
File 11	0.786357	0.498578	1.355596	34.012276	0.339096	0.596478	17.92237	0.229354	0.273566	
File 12	0.766619	0.469366	0.78754	        35.743286	0.360019	0.588188	17.934608	0.394757	0.369493	
File 13	0.830964	0.445681	0.687667	33.820026	0.382125	0.563713	16.696648	0.246723	0.26054	
File 14	0.768593	0.441338	0.750039	33.834637	0.420417	0.629243	17.991451	0.24475	        0.261329	
File 15	0.742143	0.467392	0.718458	33.465534	0.369098	0.572793	15.897265	0.250276	0.260145	
File 16	0.751618	0.460681	0.782803	33.8824	        1.151112	0.763855	19.819572	0.318964	2.353937	
File 17	0.723195	0.440943	0.588188	33.730816	0.353702	0.571213	10.717657	0.458707	0.27554	
File 18	1.04137	        0.470156	0.652139	33.98346	0.336333	0.619769	16.351631	0.228169	0.287384	
File 19	0.765039	0.424364	0.582661	34.5148	        0.523843	0.564108	16.550194	0.243171	0.273567	
File 20	0.746091	0.43897	        0.573188	33.409878	0.358439	0.650954	20.989632	0.223828	0.264882	
File 21	0.737406	0.490288	0.911889	33.47067	0.337517	0.592531	16.143595	0.238433	0.281461	
File 22	0.750039	0.435812	0.603978	33.766735	0.34186	        0.568845	21.430971	0.267251	0.275146	
File 23	0.784777	0.436601	0.596873	34.938377	0.369098	0.563319	14.932084	0.241986	0.260539	
File 24	0.702273	0.427127	0.636349	34.29058	0.338702	0.57674	        15.569222	0.217906	0.259356	
File 25	0.776092	0.441734	0.590161	33.680283	0.339096	0.563713	15.340657	0.232907	0.274751	
File 26	0.712536	2.021946	0.677403	35.776447	0.552265	0.822279	21.325176	0.23488	        0.261724	
File 27	0.78833	        0.475287	0.583451	33.321056	0.34107	        0.561739	15.12512	0.253039	0.273567	
File 28	0.777672	0.435812	0.678588	33.802265	0.338307	0.57003	        17.323524	0.35015	        0.518711	
